country,year,done
AE,2021,0
AG,2021,0
AL,2021,0
AM,2021,0
AR,2021,0
AS,2021,0
AT,2021,0
AU,2021,1
BE,2021,1
NL,2021,0
BH,2021,0
BR,2021,0
AW,2021,0
AX,2021,0
BA,2021,0
CA,2021,0
RW,2021,0
BG,2021,0
BM,2021,0
BO,2021,0
CH,2021,0
GB,2021,0
DE,2021,1
BY,2021,0
BS,2021,0
CL,2021,0
CO,2021,0
CR,2021,0
CW,2021,1
CY,2021,0
CZ,2021,0
DK,2021,1
DO,2021,0
EG,2021,0
ES,2021,0
FO,2021,0
FI,2021,0
EC,2021,0
LT,2021,1
EE,2021,1
GG,2021,0
GL,2021,1
GU,2021,0
GY,2021,0
HK,2021,0
HU,2021,0
IE,2021,1
IN,2021,0
JO,2021,0
JP,2021,0
KW,2021,0
LB,2021,0
LI,2021,0
LU,2021,0
MX,2021,1
NI,2021,0
GT,2021,0
HN,2021,0
NO,2021,0
NZ,2021,0
OM,2021,0
PA,2021,0
PE,2021,1
GH,2021,0
GI,2021,0
GP,2021,0
HR,2021,1
IM,2021,0
IS,2021,0
KE,2021,0
KN,2021,0
LC,2021,0
LV,2021,0
MP,2021,0
MU,2021,0
PR,2021,0
PY,2021,0
QA,2021,0
RO,2021,0
MY,2021,0
SA,2021,0
SE,2021,0
PH,2021,0
SG,2021,0
SV,2021,0
SX,2021,0
TT,2021,0
TW,2021,0
RS,2021,0
RU,2021,0
SC,2021,0
SI,2021,0
SK,2021,0
TH,2021,0
UA,2021,0
UG,2021,0
NG,2021,0
ID,2021,0
IL,2021,0
IQ,2021,0
MD,2021,0
MT,2021,0
UK,2021,0
UY,2021,0
VE,2021,0
VI,2021,0
ZA,2021,0
GR,2021,0
ME,2021,0
MK,2021,0
TR,2021,0
ZO,2021,0
TZ,2021,0
MN,2021,0
IT,2021,0
PL,2021,1
PT,2021,1
FR,2021,1
US,2021,0
AE,2022,0
AG,2022,0
AL,2022,0
AM,2022,0
AR,2022,0
AS,2022,0
AT,2022,0
AU,2022,0
BE,2022,1
NL,2022,0
BH,2022,0
BR,2022,0
AW,2022,1
AX,2022,0
BA,2022,0
CA,2022,0
RW,2022,0
BG,2022,0
BM,2022,0
BO,2022,0
CH,2022,0
GB,2022,0
DE,2022,0
BY,2022,0
BS,2022,0
CL,2022,0
CO,2022,0
CR,2022,1
CW,2022,0
CY,2022,0
CZ,2022,0
DK,2022,1
DO,2022,0
EG,2022,0
ES,2022,0
FO,2022,0
FI,2022,0
EC,2022,0
LT,2022,1
EE,2022,1
GG,2022,0
GL,2022,0
GU,2022,0
GY,2022,0
HK,2022,0
HU,2022,0
IE,2022,1
IN,2022,0
JO,2022,0
JP,2022,0
KW,2022,0
LB,2022,0
LI,2022,0
LU,2022,0
MX,2022,0
NI,2022,0
GT,2022,0
HN,2022,0
NO,2022,0
NZ,2022,0
OM,2022,0
PA,2022,0
PE,2022,0
GH,2022,0
GI,2022,0
GP,2022,0
HR,2022,1
IM,2022,0
IS,2022,0
KE,2022,0
KN,2022,0
LC,2022,0
LV,2022,0
MP,2022,0
MU,2022,0
PR,2022,0
PY,2022,0
QA,2022,1
RO,2022,0
MY,2022,0
SA,2022,0
SE,2022,0
PH,2022,0
SG,2022,0
SV,2022,0
SX,2022,1
TT,2022,1
TW,2022,0
RS,2022,0
RU,2022,0
SC,2022,0
SI,2022,0
SK,2022,0
TH,2022,0
UA,2022,0
UG,2022,0
NG,2022,0
ID,2022,0
IL,2022,0
IQ,2022,0
MD,2022,0
MT,2022,1
UK,2022,0
UY,2022,0
VE,2022,0
VI,2022,0
ZA,2022,0
GR,2022,0
ME,2022,0
MK,2022,0
TR,2022,0
ZO,2022,0
TZ,2022,0
MN,2022,0
IT,2022,0
PL,2022,0
PT,2022,1
FR,2022,0
US,2022,0
AE,2023,1
AG,2023,1
AL,2023,1
AM,2023,0
AR,2023,0
AS,2023,1
AT,2023,0
AU,2023,0
BE,2023,1
NL,2023,1
BH,2023,1
BR,2023,0
AW,2023,0
AX,2023,1
BA,2023,1
CA,2023,0
RW,2023,0
BG,2023,1
BM,2023,1
BO,2023,1
CH,2023,1
GB,2023,0
DE,2023,0
BY,2023,1
BS,2023,1
CL,2023,0
CO,2023,0
CR,2023,0
CW,2023,1
CY,2023,0
CZ,2023,1
DK,2023,1
DO,2023,0
EG,2023,0
ES,2023,0
FO,2023,1
FI,2023,0
EC,2023,0
LT,2023,1
EE,2023,1
GG,2023,0
GL,2023,0
GU,2023,1
GY,2023,0
HK,2023,1
HU,2023,0
IE,2023,1
IN,2023,0
JO,2023,1
JP,2023,0
KW,2023,1
LB,2023,1
LI,2023,1
LU,2023,1
MX,2023,0
NI,2023,1
GT,2023,1
HN,2023,1
NO,2023,0
NZ,2023,1
OM,2023,1
PA,2023,1
PE,2023,0
GH,2023,1
GI,2023,1
GP,2023,1
HR,2023,1
IM,2023,1
IS,2023,0
KE,2023,1
KN,2023,0
LC,2023,1
LV,2023,1
MP,2023,1
MU,2023,1
PR,2023,0
PY,2023,1
QA,2023,1
RO,2023,0
MY,2023,1
SA,2023,0
SE,2023,0
PH,2023,0
SG,2023,0
SV,2023,0
SX,2023,1
TT,2023,0
TW,2023,0
RS,2023,1
RU,2023,1
SC,2023,1
SI,2023,1
SK,2023,1
TH,2023,1
UA,2023,1
UG,2023,1
NG,2023,1
ID,2023,0
IL,2023,0
IQ,2023,1
MD,2023,0
MT,2023,0
UK,2023,0
UY,2023,0
VE,2023,0
VI,2023,1
ZA,2023,0
GR,2023,1
ME,2023,0
MK,2023,1
TR,2023,0
ZO,2023,0
TZ,2023,0
MN,2023,0
IT,2023,1
PL,2023,0
PT,2023,1
FR,2023,0
US,2023,0
ÍD,2023,1
ÍL,2023,1
